x	y	name	reg_id	type	date	address	form_link	state	comment
56.631313	60.615504	Ансамбль градостроительный	661720943890005	ансамбль		ул. Свердлова	https://docs.google.com/forms/d/e/1FAIpQLSdo5DGW_9RLSg_yvQE4Vr-egpqH6gqSNHFsqn7miGK5_tmnGQ/viewform?usp=pp_url&entry.2006182935=661720943890005	-	
56.838952	60.593621	Гимназия женская	661610732980005	памятник	конец XIX в., реконструкция в 1960-е гг.	ул. Вайнера, д. 2 /   ул. Антона Валека,   д. 11	https://docs.google.com/forms/d/e/1FAIpQLSdo5DGW_9RLSg_yvQE4Vr-egpqH6gqSNHFsqn7miGK5_tmnGQ/viewform?usp=pp_url&entry.2006182935=661610732980005	-	
56.839966	60.621963	Клуб строителей (киностудия)	661610733230006	памятник	1929 г., архитектор Я.А. Корнфельд	пр. Ленина, д. 50	https://docs.google.com/forms/d/e/1FAIpQLSdo5DGW_9RLSg_yvQE4Vr-egpqH6gqSNHFsqn7miGK5_tmnGQ/viewform?usp=pp_url&entry.2006182935=661610733230006	-	
56.827828	60.597412	Памятник деревянного зодчества в стиле модерн	661710782360005	памятник	рубеж   XIX-XX вв.	ул. Вайнера, д. 64   (во дворе)	https://docs.google.com/forms/d/e/1FAIpQLSdo5DGW_9RLSg_yvQE4Vr-egpqH6gqSNHFsqn7miGK5_tmnGQ/viewform?usp=pp_url&entry.2006182935=661710782360005	-	
56.832068	60.59849	Лавка	661710995270005	памятник	вторая половина   XIX в.	ул. 8 Марта, д. 16	https://docs.google.com/forms/d/e/1FAIpQLSdo5DGW_9RLSg_yvQE4Vr-egpqH6gqSNHFsqn7miGK5_tmnGQ/viewform?usp=pp_url&entry.2006182935=661710995270005	-	
56.840729	60.621001	Комплекс зданий «Городок чекиста»	661720755240006	ансамбль	1932-1934 гг., архитекторы И.П. Антонов,  В.Д. Соколов	пр. Ленина, д. 69	https://docs.google.com/forms/d/e/1FAIpQLSdo5DGW_9RLSg_yvQE4Vr-egpqH6gqSNHFsqn7miGK5_tmnGQ/viewform?usp=pp_url&entry.2006182935=661720755240006	-	
56.831669	60.601131	Лавка	661710995280005	памятник	вторая половина   XIX в.	ул. 8 Марта, д. 31, литер В	https://docs.google.com/forms/d/e/1FAIpQLSdo5DGW_9RLSg_yvQE4Vr-egpqH6gqSNHFsqn7miGK5_tmnGQ/viewform?usp=pp_url&entry.2006182935=661710995280005	-	
56.837386	60.576373	павильон восточный	661710995160025	памятник		ул. Верх-Исетский бульвар, д. 9	https://docs.google.com/forms/d/e/1FAIpQLSdo5DGW_9RLSg_yvQE4Vr-egpqH6gqSNHFsqn7miGK5_tmnGQ/viewform?usp=pp_url&entry.2006182935=661710995160025	-	
56.836396	60.595804	Усадьба Жирякова, двухэтажный флигель	661711086620005	памятник	середина  XIX в.	ул. Вайнера, д. 7	https://docs.google.com/forms/d/e/1FAIpQLSdo5DGW_9RLSg_yvQE4Vr-egpqH6gqSNHFsqn7miGK5_tmnGQ/viewform?usp=pp_url&entry.2006182935=661711086620005	-	
